id,kind,name,sortName,birth,death,viaf,wikidata,map,dbi,tgn,geonames,lat,lon,mentions,letters
place-saint-germain-des-pres,place,Saint-Germain-des-Prés,Saint-Germain-des-Prés,,,,Q604717,,,7607890,,48.8539,2.3345,2,2
place-saint-germain-en-laye,place,Saint-Germain-en-Laye,Saint-Germain-en-Laye,,,,Q60847808,,,8723310,2979783,48.8986,2.0936,9,6
place-saint-jean-dangely,place,Saint-Jean-d'Angély,Saint-Jean-d'Angély,,,,Q348807,,,7009634,6428080,45.9438,-0.5197,1,1
place-saluzzo,place,Saluzzo,Saluzzo,,,,Q20454,,,7005648,6539909,44.6421,7.4950,2,2
place-sancerre,place,Sancerre,Sancerre,,,,Q459683,,,1035612,2976251,47.3289,2.8404,9,8
place-saumur,place,Saumur,Saumur,,,,Q193821,,,7008492,2975758,47.2607,-0.0763,1,1
place-savoia,place,Savoy,Savoy,,,,Q14118,,,7024413,,45.5667,5.9333,6,5
place-saxony,place,Saxony,Saxony,,,,Q156199,,,7003685,,51.0493,13.7384,3,2
place-sedana,place,Sedan,Sedan,,,,Q184371,,,7009674,6426109,49.7019,4.9400,1,1
place-soissons,place,Soissons,Soissons,,,,Q167152,,,7010563,2974389,49.3850,3.3272,3,3
place-svizzera,place,Switzerland,Switzerland,,,,Q39,,,7011731,2658434,46.7986,8.2320,0,0
place-toscana,place,Tuscany,Tuscany,,,,Q1273,,,7009760,3165361,43.4500,11.2000,14,9
place-trento,place,Trent,Trent,,,,Q3376,,,7005128,6541469,46.0748,11.1217,1,1
place-urbino,place,Urbino,Urbino,,,,Q2759,,,7003994,6541472,43.726,12.637,1,1
place-venezia,place,Venice,Venice,,,,Q641,,,7018159,6542284,45.4397,12.3319,4,4
place-vienna,place,Vienna,Vienna,,,,Q1741,,,7003321,2761369,48.2082,16.3738,2,1
place-vienne,place,Vienne,Vienne,,,,Q26849,,,,6454095,45.5256,4.8747,0,0
place-vitry,place,Vitry-le-François,Vitry-le-François,,,,Q623374,,,7009747,2967856,48.9996,4.3939,1,1
